text,clean,label,sentiment,vader_compound,vader_pos,vader_neg,vader_pred
"This is a quite slow paced movie, slowly building the story of an ex stripper who begins a new family life with a complete stranger. The viewer slowly feels that there's something wrong here ...<br /><br />I really loved this movie even though it leaves a slight bitter taste in the end. It is clever, well paced and very well acted. Both Philippe Toretton and Emmannuelle Seigner are deeply into their characters. <br /><br />The little son ""pierrot"" is also very touching.<br /><br />A thriller which does not seem like one. A very unconventional movie, very particular atmosphere throughout the whole movie though you might feel awkward a few times with a couple of scenes.<br /><br />i'll give it a 8/10 !!",this is a quite slow paced movie slowly building the story of an ex stripper who begins a new family life with a complete stranger the viewer slowly feels that there s something wrong here i really loved this movie even though it leaves a slight bitter taste in the end it is clever well paced and very well acted both philippe toretton and emmannuelle seigner are deeply into their characters the little son pierrot is also very touching a thriller which does not seem like one a very unconventional movie very particular atmosphere throughout the whole movie though you might feel awkward a few times with a couple of scenes i ll give it a,1,positive,0.5813,0.105,0.075,positive
"I saw this movie when I was a child. It blew me away. This was before the days of television, so a movie of this magnitude, could send a young kid into orbit. It so impressed me, that I went to see this movie for twelve consecutive days. The special effects used at this time were far ahead of its' time. Sabu was a real delight, as was Rex Ingram as the Genie. I found myself singing ""I want to be a sailor"" for months after the film left town. I would recommend this movie to any and everyone. I forgot to mention Conrad Veidt, who was as villainous a character as you'd ever want to meet. Also, June Duprez was never lovelier than she was in this picture. The color was outstanding. Give this movie an AAA!",i saw this movie when i was a child it blew me away this was before the days of television so a movie of this magnitude could send a young kid into orbit it so impressed me that i went to see this movie for twelve consecutive days the special effects used at this time were far ahead of its time sabu was a real delight as was rex ingram as the genie i found myself singing i want to be a sailor for months after the film left town i would recommend this movie to any and everyone i forgot to mention conrad veidt who was as villainous a character as you d ever want to meet also june duprez was never lovelier than she was in this picture the color was outstanding give this movie an aaa,1,positive,0.9431,0.142,0.021,positive
"I saw the long day's dying when it first came out at the cinema, I thought the film gave a good soldiers point of view, it gave a realistic account, of men at war. The storyline moves at a nice pace, showing a group of men behind enemy lines, and trying to return back to their own lines with an enemy prisoner. The characters are well developed, and believable.<br /><br />David Hemmings is a good actor and plays the leading role with conviction, as does Alan Dobie (as German Helmut) I was surprised, that i have been unable to find this film on VHS or DVD, and I feel it has become the forgotten film, which is sad , as it is superior to many other war films I have seen.",i saw the long day s dying when it first came out at the cinema i thought the film gave a good soldiers point of view it gave a realistic account of men at war the storyline moves at a nice pace showing a group of men behind enemy lines and trying to return back to their own lines with an enemy prisoner the characters are well developed and believable david hemmings is a good actor and plays the leading role with conviction as does alan dobie as german helmut i was surprised that i have been unable to find this film on vhs or dvd and i feel it has become the forgotten film which is sad as it is superior to many other war films i have seen,1,positive,-0.802,0.124,0.159,negative
"This movie is a great way for the series to finally end. Peter (the boy from Puppet Master III) is all grown up and is now the Puppet Master. Well, this girl comes to destroy the puppets and learn Toulon's secrets but instead she listens to the story about the puppets. Most of this movie is footage from Puppet Master II, Puppet Master III, Puppet Master 4, Puppet Master 5, Curse of the Puppet Master, and Retro Puppet Master (sorry... But I guess Paramount wouldn't let them use scenes from 1). Personally I wish Puppet Master Vs. Demonic Toys would finally be made but the way this movie ends they basically say ""This is THE final movie in the series...""",this movie is a great way for the series to finally end peter the boy from puppet master iii is all grown up and is now the puppet master well this girl comes to destroy the puppets and learn toulon s secrets but instead she listens to the story about the puppets most of this movie is footage from puppet master ii puppet master iii puppet master puppet master curse of the puppet master and retro puppet master sorry but i guess paramount wouldn t let them use scenes from personally i wish puppet master vs demonic toys would finally be made but the way this movie ends they basically say this is the final movie in the series,1,positive,-0.09,0.06,0.055,negative
"I saw this when on The Wonderful World of Disney as a kid, so I didn't recall much of it. As I watched it recently, I sat there thinking, ""This is the weirdest thing I've seen"".<br /><br />The 'traveling' scenes look like something caused by an LSD overdose. The animated characters are mostly oddly colored/voiced versions of Jungle Book and Robin Hood characters. Some not-so-Disney things I noticed: kids being threatened at knife point and prostitutes(during the Portobello Road song).<br /><br />It was very entertaining, though the musical numbers were long and I can see little kids getting bored with them. Also, the subject manner was a bit dark, seeing as it was set during WW2.",i saw this when on the wonderful world of disney as a kid so i didn t recall much of it as i watched it recently i sat there thinking this is the weirdest thing i ve seen the traveling scenes look like something caused by an lsd overdose the animated characters are mostly oddly colored voiced versions of jungle book and robin hood characters some not so disney things i noticed kids being threatened at knife point and prostitutes during the portobello road song it was very entertaining though the musical numbers were long and i can see little kids getting bored with them also the subject manner was a bit dark seeing as it was set during ww,1,positive,0.5657,0.08,0.057,positive
"Listening to the soundtrack at the moment, the images come back with a vividness that makes my longing for a dry eye very strong (in order to be able to type this). I've seen it twice thus far, and I should be ashamed for having seen it *only* twice.<br /><br />I've seen all Miyazaki & Studio Ghibli films, and they are invariably nothing less than masterpieces (except maybe for Nausicaa which was, even in the non-cut up version too premature compared to the nec-plus-ultra manga). Still, their strength sometimes becomes their weakness, as they tend to get too naive/positive (Chihiro), or, with more nuance, a bit too explicit/moralist (Mononoke). At least, compared to for example the other Ghibli master Takahata (Grave of the Fireflies / Only Yesterday / Raccoon Wars). But not this one.<br /><br />In Laputa, Miyazaki pours all the brilliant storytelling that tellers of tales have gathered and perfected over the ages, combined with a bit of morale, but nicely interwoven with not only a completely transcendental atmosphere, but also with the humor and amusement of for example Totoro. Every single main character is perfectly portrayed with their doubts and fears and their qualities that help them overcome difficulties. The pacing is so perfect that I know of nothing except a black hole that would be able to exert such a gravitational pull on your whole being. The story sets out as an action flic with mysteries hinted at, but when the girl falls from the sky, unconscious, floating with the stone, and the main theme kicks in, you get a glimpse of the grand mystery you're about to uncover, but the story then settles and gradually, over a number of carefully selected scenes of action and serene beauty, builds to an unforgettable climax of melancholy, hope, beauty - like, following days of sombre gloom, finally seeing the horizon on a clear morning, knowing the path walked, seeing the distance ahead, but smiling at the mere fact of being able to catch a glimpse of it.<br /><br />It is so like an exploding white light in your skull that if by the time the credits start rolling you have kept your eyes dry and your mind numb, you should see a therapist.<br /><br />Despite the fact that technically-image-wise some more recent Miyazakis might be more overwhelming, this to me remains his undisputed masterpiece. If you take a fraction of a second to realise that this was made back in 1986, you can only come to the conclusion that Hayao Miyazaki is a genius like a star that appears only once every 200 years. This of course has been suggested before, but to me this is his only film that can, on its own, fully illustrate that simple fact. If you miss this during your lifetime, you'll die with a huge gap - which would be a pity, as the coffin costs the same.",listening to the soundtrack at the moment the images come back with a vividness that makes my longing for a dry eye very strong in order to be able to type this i ve seen it twice thus far and i should be ashamed for having seen it only twice i ve seen all miyazaki studio ghibli films and they are invariably nothing less than masterpieces except maybe for nausicaa which was even in the non cut up version too premature compared to the nec plus ultra manga still their strength sometimes becomes their weakness as they tend to get too naive positive chihiro or with more nuance a bit too explicit moralist mononoke at least compared to for example the other ghibli master takahata grave of the fireflies only yesterday raccoon wars but not this one in laputa miyazaki pours all the brilliant storytelling that tellers of tales have gathered and perfected over the ages combined with a bit of morale but nicely interwoven with not only a completely transcendental atmosphere but also with the humor and amusement of for example totoro every single main character is perfectly portrayed with their doubts and fears and their qualities that help them overcome difficulties the pacing is so perfect that i know of nothing except a black hole that would be able to exert such a gravitational pull on your whole being the story sets out as an action flic with mysteries hinted at but when the girl falls from the sky unconscious floating with the stone and the main theme kicks in you get a glimpse of the grand mystery you re about to uncover but the story then settles and gradually over a number of carefully selected scenes of action and serene beauty builds to an unforgettable climax of melancholy hope beauty like following days of sombre gloom finally seeing the horizon on a clear morning knowing the path walked seeing the distance ahead but smiling at the mere fact of being able to catch a glimpse of it it is so like an exploding white light in your skull that if by the time the credits start rolling you have kept your eyes dry and your mind numb you should see a therapist despite the fact that technically image wise some more recent miyazakis might be more overwhelming this to me remains his undisputed masterpiece if you take a fraction of a second to realise that this was made back in you can only come to the conclusion that hayao miyazaki is a genius like a star that appears only once every years this of course has been suggested before but to me this is his only film that can on its own fully illustrate that simple fact if you miss this during your lifetime you ll die with a huge gap which would be a pity as the coffin costs the same,1,positive,0.9963,0.171,0.069,positive
"When it comes to creating a universe George Lucas is the undisputed master and his final Star Wars film is very, very good (and more appropriately rated in comparison to the two previous films in the original saga). Having recently seen Revenge of the Sith really puts this movie in perspective. The final battle seems even more climactic knowing what Anakin Skywalker went through at the manipulative hands of the Emperor. It also makes the final battle between Luke and Vader more bitter considering the love he felt for Padmé and the love she felt for her children. Actually while the new films (especially Episode II) are inferior to the original films they are good for one reason only. They make the old films seem even better.<br /><br />Mark Hamill does an exceptional job in this movie. He really brings the changes Luke has gone through seem real. In all fairness I believe that he should have become a big actor based on these films because he really does a great job. Harrison Ford is still good. However, you can feel that he has done Raiders and Blade Runner in between the two final chapters of Star Wars because he seems to have grown quite a bit. He adds more comedy (obviously inspired from Raiders) to the character which works brilliantly. In short Han Solo is better than ever. Carrie Fisher was never really a good actress but she does a decent job and is certainly passable. Ian McDiarmid appears in this film and having seen Episode III I can safely say that he is one of the most accomplished villains ever. James Earl Jones still provides the voice for Vader and he is still very, very good.<br /><br />In terms of how the movie looks its pretty safe to say that the Star Wars universe looks better than in either of the previous (two) movies but this was always Lucas' forté so that is really to be expected. The final battle over Endor is very well made both in terms of the general effects and tension wise. It was also a nice touch that Lucas decided to have three battles take place at the same time as it added to the overall tension of the climax. <br /><br />The only thing I feel is dragging the movie down from an otherwise deserved 9 are the Ewoks. These little creatures are so annoying they almost ruin every scene they are in. Besides I find it to be a little to kiddy when a group of teddy bears with bows and arrows can defeat a squadron of Storm Troopers with laser guns and mighty machinery.<br /><br />All in all Return of the Jedi is a very good movie but the fact that Richard Marquand is a less accomplished director than Irvin Kershner does that the overall feel of the movie is less than brilliant. Also George Lucas' stupid decision to add the Ewoks to the universe does that the film falls short of brilliance.<br /><br />8/10",when it comes to creating a universe george lucas is the undisputed master and his final star wars film is very very good and more appropriately rated in comparison to the two previous films in the original saga having recently seen revenge of the sith really puts this movie in perspective the final battle seems even more climactic knowing what anakin skywalker went through at the manipulative hands of the emperor it also makes the final battle between luke and vader more bitter considering the love he felt for padm and the love she felt for her children actually while the new films especially episode ii are inferior to the original films they are good for one reason only they make the old films seem even better mark hamill does an exceptional job in this movie he really brings the changes luke has gone through seem real in all fairness i believe that he should have become a big actor based on these films because he really does a great job harrison ford is still good however you can feel that he has done raiders and blade runner in between the two final chapters of star wars because he seems to have grown quite a bit he adds more comedy obviously inspired from raiders to the character which works brilliantly in short han solo is better than ever carrie fisher was never really a good actress but she does a decent job and is certainly passable ian mcdiarmid appears in this film and having seen episode iii i can safely say that he is one of the most accomplished villains ever james earl jones still provides the voice for vader and he is still very very good in terms of how the movie looks its pretty safe to say that the star wars universe looks better than in either of the previous two movies but this was always lucas fort so that is really to be expected the final battle over endor is very well made both in terms of the general effects and tension wise it was also a nice touch that lucas decided to have three battles take place at the same time as it added to the overall tension of the climax the only thing i feel is dragging the movie down from an otherwise deserved are the ewoks these little creatures are so annoying they almost ruin every scene they are in besides i find it to be a little to kiddy when a group of teddy bears with bows and arrows can defeat a squadron of storm troopers with laser guns and mighty machinery all in all return of the jedi is a very good movie but the fact that richard marquand is a less accomplished director than irvin kershner does that the overall feel of the movie is less than brilliant also george lucas stupid decision to add the ewoks to the universe does that the film falls short of brilliance,1,positive,0.9596,0.136,0.097,positive
"Three girls (an all-female media-crew, including cult-actress Barbara Bach, no less) visiting a small town to cover a festival, end up renting rooms in a house they should have avoided like the plague. Well-made little shocker, suffering a bit from some redundant dialogue-scenes and a rather thin plot-line (that doesn't do very well in hiding its secrets). One underlying theme in particular is quite disturbing (as in: vintage shock-material), and this is basically what the film thrives on. Performances & cinematography are pretty much above par (compared to many other late 70's/early 80's films in the same vein), but what really makes me recommend this film is the fairly long climax-scene in the basement-setting. From the moment that ""Keller Junior"" character was introduced, his performance made my jaw drop open and it didn't close until the end of the film. A very pleasant surprise to see actor Sydney Lassick (who was funnily wacko in ""One Flew Over The Cuckoo's nest"", and now utterly demented in ""The Unseen"") take on one of the leading roles.",three girls an all female media crew including cult actress barbara bach no less visiting a small town to cover a festival end up renting rooms in a house they should have avoided like the plague well made little shocker suffering a bit from some redundant dialogue scenes and a rather thin plot line that doesn t do very well in hiding its secrets one underlying theme in particular is quite disturbing as in vintage shock material and this is basically what the film thrives on performances cinematography are pretty much above par compared to many other late s early s films in the same vein but what really makes me recommend this film is the fairly long climax scene in the basement setting from the moment that keller junior character was introduced his performance made my jaw drop open and it didn t close until the end of the film a very pleasant surprise to see actor sydney lassick who was funnily wacko in one flew over the cuckoo s nest and now utterly demented in the unseen take on one of the leading roles,1,positive,0.8967,0.114,0.077,positive
"I loved this film, seen this evening on a movie theatre big screen! The audience laughed out loud at some very interesting things, and the fast pace was most enjoyable.<br /><br />I do, as a singer and musical director, question one section of Roby Keeler's vocal in ""By a Waterfall."" The key modulated, and she was suddenly singing much lower, in a very mellow voice that bore no resemblance to the somewhat tin-like higher twitter voice she used in all her other vocals.<br /><br />Does anyone know if this was overdubbed by another singer? It sounds it to me. I would love to know.<br /><br />Thanks so much.",i loved this film seen this evening on a movie theatre big screen the audience laughed out loud at some very interesting things and the fast pace was most enjoyable i do as a singer and musical director question one section of roby keeler s vocal in by a waterfall the key modulated and she was suddenly singing much lower in a very mellow voice that bore no resemblance to the somewhat tin like higher twitter voice she used in all her other vocals does anyone know if this was overdubbed by another singer it sounds it to me i would love to know thanks so much,1,positive,0.8746,0.124,0.055,positive
"The Three Stooges has always been some of the many actors that I have loved. I love just about every one of the shorts that they have made. I love all six of the Stooges (Curly, Shemp, Moe, Larry, Joe, and Curly Joe)! All of the shorts are hilarious and also star many other great actors and actresses which a lot of them was in many of the shorts! In My opinion The Three Stooges is some of the greatest actors ever and is the all time funniest comedy team! <br /><br />This is a good Three Stooges short. It funny and its cast includes Christine McIntyre,Symona Boniface, Gino Corrado, Fred Kelsey, Sam Flint, Chester Conklin, Theodore Lorch, Lynton Brent, Judy Malcolm, Vernon Dent, John Tyrrell, Heinie Conklin, and Bess Flowers. The Stooges performed very well in this short! I recommend this one!",the three stooges has always been some of the many actors that i have loved i love just about every one of the shorts that they have made i love all six of the stooges curly shemp moe larry joe and curly joe all of the shorts are hilarious and also star many other great actors and actresses which a lot of them was in many of the shorts in my opinion the three stooges is some of the greatest actors ever and is the all time funniest comedy team this is a good three stooges short it funny and its cast includes christine mcintyre symona boniface gino corrado fred kelsey sam flint chester conklin theodore lorch lynton brent judy malcolm vernon dent john tyrrell heinie conklin and bess flowers the stooges performed very well in this short i recommend this one,1,positive,0.9914,0.248,0.0,positive
The Cure uses voice over to create an intense mood. Although the VO accounts for all of the film's lines it amazingly does not take away from the visual story. The use of multiple film stocks add a lot of texture to the story. The choice of combining b & w and color worked nicely to enhance the leaps in time. The ending will make you jump despite being able to anticipate the result. I was especially enjoyed the thrill of the film's suspense. The close-ups for the love scene are also lovely and reflect a tasteful eye. The piece is quite short but accomplishes a lot. The tight editing really helps to show off what a short film can do. Worth watching more than once!,the cure uses voice over to create an intense mood although the vo accounts for all of the film s lines it amazingly does not take away from the visual story the use of multiple film stocks add a lot of texture to the story the choice of combining b w and color worked nicely to enhance the leaps in time the ending will make you jump despite being able to anticipate the result i was especially enjoyed the thrill of the film s suspense the close ups for the love scene are also lovely and reflect a tasteful eye the piece is quite short but accomplishes a lot the tight editing really helps to show off what a short film can do worth watching more than once,1,positive,0.965,0.183,0.0,positive
"At long last! One of Michael Jackson's most well known and beloved films comes to DVD! In Michael Jackson Moonwalker, (Michael Jackson) stars as Michael. A man with powers that are not of this world. Michael must save Sean (Sean Lennon), Katie (Kellie Parker), Zeke (Brandon Quintin Adams), and the rest of the worlds children from drug lord Frankie Lideo aka Mr. Big (Joe Pesci) who's mission in life is to get all of the worlds children hooked on drugs! A NOTE TO PEOPLE IN THE USA LOOKING FOR THIS FILM ON DVD: Make sure when buying this film on DVD you buy Warners Product #WK00817 as NTSC Region 3 which plays on North American NTSC Region 1 players.",at long last one of michael jackson s most well known and beloved films comes to dvd in michael jackson moonwalker michael jackson stars as michael a man with powers that are not of this world michael must save sean sean lennon katie kellie parker zeke brandon quintin adams and the rest of the worlds children from drug lord frankie lideo aka mr big joe pesci who s mission in life is to get all of the worlds children hooked on drugs a note to people in the usa looking for this film on dvd make sure when buying this film on dvd you buy warners product wk as ntsc region which plays on north american ntsc region players,1,positive,0.9196,0.113,0.0,positive
